"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"97",97,"FEC","Donald J. Trump for President, Inc.","2015-11-25",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"98",98,"FEC","Donald J. Trump for President, Inc.","2015-11-28",2544.01,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"99",99,"FEC","Donald J. Trump for President, Inc.","2015-12-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"100",100,"FEC","Donald J. Trump for President, Inc.","2015-12-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"101",101,"FEC","Donald J. Trump for President, Inc.","2015-12-01",35457.5,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"102",102,"FEC","Donald J. Trump for President, Inc.","2015-12-01",37500,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2015,NA,NA,"29.495040:-95.099979"
"103",103,"FEC","Donald J. Trump for President, Inc.","2015-12-03",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"104",104,"FEC","Donald J. Trump for President, Inc.","2015-12-03",3000,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"105",105,"FEC","Donald J. Trump for President, Inc.","2015-12-10",2574.43,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"106",106,"FEC","Donald J. Trump for President, Inc.","2015-12-12",2544.01,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"107",107,"FEC","Donald J. Trump for President, Inc.","2015-12-17",2531.19,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"108",108,"FEC","Donald J. Trump for President, Inc.","2015-12-24",2426.63,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"109",109,"FEC","Donald J. Trump for President, Inc.","2015-12-26",2529.11,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"110",110,"FEC","Donald J. Trump for President, Inc.","2015-12-30",530160,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2015,NA,NA,"29.495040:-95.099979"
"111",111,"FEC","Donald J. Trump for President, Inc.","2015-12-31",2426.63,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"112",112,"FEC","Donald J. Trump for President, Inc.","2016-01-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2016,NA,NA,"40.765557:-73.976590"
"113",113,"FEC","Donald J. Trump for President, Inc.","2016-01-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"114",114,"FEC","Donald J. Trump for President, Inc.","2016-01-04",3000,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"115",115,"FEC","Donald J. Trump for President, Inc.","2016-01-04",35457.5,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"116",116,"FEC","Donald J. Trump for President, Inc.","2016-01-05",810.24,"Lodging","Trump Soho NY","TRAVEL: LODGING","TRUMP SOHO","New York","NY",2016,NA,NA,"40.725544:-74.005272"
"117",117,"FEC","Donald J. Trump for President, Inc.","2016-01-07",2693.63,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"118",118,"FEC","Donald J. Trump for President, Inc.","2016-01-09",2620.86,"Payroll","Trump Payroll Corp","IN-KIND: PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"119",119,"FEC","Donald J. Trump for President, Inc.","2016-01-12",5000,"Events","Trump Hotel D.C.","FACILITY RENTAL","TRUMP OLD POST OFFICE LLC","Washington","DC",2016,NA,NA,"38.894508:-77.027603"
