"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"627",627,"FEC","Bill Shuster for Congress","2017-05-04",390,"Events","BLT Prime D.C","EVENT CATERING","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"628",628,"FEC","Roger Williams for U S Congress Committee","2017-05-10",3286.43,"Food","BLT Prime D.C","Meal/Meeting Expense","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"629",629,"FEC","Kansans for Marshall","2017-05-17",370.98,"Travel","Trump Hotel Chicago","TRAVEL","Trump International Hotel","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"630",630,"FEC","Kansans for Marshall","2017-05-17",25.65,"Travel","Trump Hotel Chicago","TRAVEL","Trump International Hotel","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"631",631,"FEC","Republican Party of Virginia Inc","2017-05-18",9705,"Events","Trump Golf Club D.C.","Room rental and catering for Event","Trump National Golf Club DC","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"632",632,"FEC","Republican National Committee","2017-05-19",55.2,"Events","Trump Hotel D.C.","CATERING/FOOD AND BEVERAGES","TRUMP INTERNATIONAL HOTEL WDC                                    ","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"633",633,"FEC","Brady for Congress","2017-05-21",1391.05,"Food","BLT Prime D.C","staff retreat dinner","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"634",634,"FEC","Rohrabacher for Congress","2017-05-31",4175,"Events","Trump Hotel D.C.","Event Room & Catering Costs","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"635",635,"FEC","Reinventing a New Direction Political Action Committee","2017-06-01",350,"Food","BLT Prime D.C","FOOD/BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"636",636,"FEC","Tom Rice for Congress","2017-06-06",1268.1,"Events","BLT Prime D.C","Event Catering","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"637",637,"FEC","Culberson for Congress","2017-06-09",700.7,"Events","Trump Hotel D.C.","event food and bev","Trump Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"638",638,"FEC","Ted Yoho for Congress","2017-06-14",1259.3,"Events","BLT Prime D.C","EVENT CATERING","BLT-TRUMP INTERNATIONAL HOTEL","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"639",639,"FEC","Rohrabacher for Congress","2017-06-15",6825,"Events","Trump Hotel D.C.","Event Room & Catering Costs","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"640",640,"FEC","Walden for Congress","2017-06-15",365.9,"Food","BLT Prime D.C","MEETING EXPENSE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"641",641,"FEC","Washington State Republican Party","2017-06-17",807.22,"Lodging","Trump Hotel D.C.","Hotel","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"642",642,"FEC","Alex Mooney for Congress","2017-06-19",437.4,"Food","BLT Prime D.C","FOOD/BEVERAGE","TRUMP HOTEL BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"643",643,"FEC","Walorski for Congress Inc","2017-06-21",622.5,"Food","BLT Prime D.C","FOOD/BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"644",644,"FEC","Mike Kelly for Congress","2017-06-26",203.4,"Food","Trump Hotel D.C.","Food & beverage expense","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"645",645,"FEC","Macarthur Victory","2017-06-28",15221.1,"Events","Trump Golf Club Bedminster","VENUE RENTAL/CATERING","TRUMP NATIONAL GOLF CLUB","Bedminister","NJ",2017,NA,NA,"40.653775:-74.697349"
"646",646,"FEC","Alex Mooney for Congress","2017-07-05",69.3,"Food","BLT Prime D.C","FOOD/BEVERAGE","TRUMP HOTEL BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"647",647,"FEC","Rohrabacher for Congress","2017-07-05",972.98,"Events","Trump Hotel D.C.","Event Room & Final Catering Costs","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"648",648,"FEC","Rohrabacher for Congress","2017-07-06",572.5,"Events","Trump Hotel D.C.","Event Room & Event Supplies","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"649",649,"FEC","Handel for Congress, Inc.","2017-07-07",230,"Food","Trump Hotel D.C.","Food/Beverage","Trump International Hotel Washington","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"650",650,"FEC","Missouri Republican State Committee-Federal","2017-07-12",1587.46,"Lodging","Trump Hotel D.C.","Lodging","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"651",651,"FEC","Trump Make America Great Again Committee","2017-07-13",1145,"Lodging","Trump Hotel D.C.","CREDIT CARD PMT [SB21B.750867]: TRAVEL: LODGING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"652",652,"FEC","NY Republican Federal Campaign Committee","2017-07-14",16,"Other","Trump Golf Club Miami","002 Travel Parking","Trump National Doral","Doral","FL",2017,NA,NA,"25.818840:-80.343826"
"653",653,"FEC","Washington State Republican Party","2017-07-14",904.56,"Lodging","Trump Hotel D.C.","Hotel","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"654",654,"FEC","Duncan D. Hunter for Congress","2017-07-19",136.6,"Food","Benjamin Bar & Lounge D.C","FOOD/BEVERAGE","BENJAMIN BAR & LOUNGE","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"655",655,"FEC","Republican National Committee","2017-07-19",954,"Events","Trump Hotel D.C.","CATERING/FOOD AND BEVERAGES","TRUMP INTERNATIONAL HOTEL WDC                                    ","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"656",656,"FEC","Republican National Committee","2017-07-19",121250,"Events","Trump Hotel D.C.","VENUE RENTAL AND CATERING","TRUMP INTERNATIONAL HOTEL WDC                                    ","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"657",657,"FEC","Omar Navarro for Congress","2017-07-24",3670.8,"Events","Trump Golf Club L.A.","Fundraising Event Rental","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"658",658,"FEC","Tenn Political Action Committee Inc (Tenn Pac)","2017-07-25",268.4,"Food","BLT Prime D.C","PAC meals","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"659",659,"FEC","Great America PAC","2017-07-26",281.4,"Food","BLT Prime D.C","FOOD AND BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"660",660,"FEC","Texans for Lamar Smith","2017-07-26",479.3,"Events","BLT Prime D.C","Catering","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"661",661,"FEC","Omar Navarro for Congress","2017-08-02",20,"Food","Trump Golf Club L.A.","Meals","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"662",662,"FEC","Omar Navarro for Congress","2017-08-02",9.46,"Food","Trump Golf Club L.A.","Meals","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"663",663,"FEC","Walorski for Congress Inc","2017-08-03",648.9,"Food","BLT Prime D.C","FOOD/BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"664",664,"FEC","NRSC","2017-08-04",404.3,"Food","Trump Restaurants LLC","FOOD/BEVERAGE","TRUMP RESTAURANTS","New York","NY",2017,NA,NA,"40.762459:-73.973869"
"665",665,"FEC","Reinventing a New Direction Political Action Committee","2017-08-04",29.4,"Food","Trump Golf Club D.C.","FOOD/BEVERAGE","TRUMP NATIONAL","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"666",666,"FEC","Graves for Congress","2017-08-05",85.4,"Food","Trump Hotel D.C.","Resturant Meal","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"667",667,"FEC","Citizens for Turner","2017-08-15",275.9,"Food","Trump Hotel D.C.","Meeting Food and Beverage","Trump International Hotel DC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"668",668,"FEC","Republican National Committee","2017-08-19",27,"Events","Trump Hotel D.C.","CATERING/FOOD AND BEVERAGES","TRUMP INTERNATIONAL HOTEL WDC                                    ","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"669",669,"FEC","Republican National Committee","2017-08-19",46965.74,"Events","Trump Hotel D.C.","VENUE RENTAL AND CATERING","TRUMP INTERNATIONAL HOTEL WDC                                    ","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"670",670,"FEC","Ax PAC","2017-08-21",974.02,"Events","BLT Prime D.C","CATERING/FACILITY RENTAL","BLT PRIME TRUMP DC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"671",671,"FEC","Yoder for Congress, Inc","2017-08-30",353.68,"Lodging","Trump Hotel Chicago","LODGING","TRUMP HOTEL","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"672",672,"FEC","Tom Rooney for Congress","2017-09-01",352.2,"Lodging","Trump Hotel Chicago","LODGING","Trump International Hotel","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"673",673,"FEC","Omar Navarro for Congress","2017-09-06",359.55,"Lodging","Trump Hotel Las Vegas","Hotel","Trump Hotel","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"674",674,"FEC","Denham for Congress","2017-09-13",873.5,"Events","Trump Hotel D.C.","FUNDRAISING EVENT","TRUMP INT'L HOTEL","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"675",675,"FEC","Citizens for Turner","2017-09-15",53.1,"Food","Trump Hotel D.C.","Meeting Food and Beverage","Trump International Hotel DC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"676",676,"FEC","Republican National Committee","2017-09-18",3322.37,"Events","Trump Hotel D.C.","VENUE RENTAL AND CATERING","TRUMP INTERNATIONAL HOTEL WDC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"677",677,"FEC","Jet PAC","2017-09-20",70.21,"Food","Other","PAC MEETING EXPENSE","TERRACE AT TRUMP","Chicago","IL",2017,NA,NA,"40.762459:-73.973869"
"678",678,"FEC","Jet PAC","2017-09-20",433.91,"Travel","Trump Hotel Chicago","PAC TRAVEL EXPENSE","TRUMP HOTEL","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"679",679,"FEC","Omar Navarro for Congress","2017-09-20",258.76,"Lodging","Trump Hotel Las Vegas","Hotel","Trump Hotel","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"680",680,"FEC","Great America PAC","2017-09-27",77.5,"Food","BLT Prime D.C","FOOD AND BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"681",681,"FEC","Omar Navarro for Congress","2017-09-27",4132.93,"Events","Trump Golf Club L.A.","Event Venue Rental","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"682",682,"FEC","America First Action, Inc.","2017-09-28",475,"Food","Benjamin Bar & Lounge D.C","AHEARN REIMBURSEMENT [SB21B.4640]: MEETING EXPENSE: MEALS","BENJAMIN BAR AND LOUNGE","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"683",683,"FEC","National Association of Royalty Owners PAC (Naro Pac)","2017-09-29",848.82,"Lodging","Trump Hotel D.C.","PAC Lodging","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"684",684,"FEC","Tom Reed for Congress","2017-10-06",242.4,"Events","Trump Hotel D.C.","fundraising/catering","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"685",685,"FEC","Kinzinger for Congress","2017-10-10",937.3,"Events","Trump Hotel Chicago","EVENT CATERING","TRUMP HOTEL","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"686",686,"FEC","Reinventing a New Direction Political Action Committee","2017-10-10",784.4,"Food","BLT Prime D.C","FOOD/BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"687",687,"FEC","Reinventing a New Direction Political Action Committee","2017-10-10",54,"Food","Trump Golf Club D.C.","FOOD/BEVERAGE","TRUMP NATIONAL","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"688",688,"FEC","Stewart for Senate Inc","2017-10-10",76.8,"Food","Trump Hotel D.C.","MEETING EXPENSE - MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"689",689,"FEC","Stewart for Senate Inc","2017-10-10",250.6,"Food","Trump Hotel D.C.","MEETING EXPENSE - MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"690",690,"FEC","Stewart for Senate Inc","2017-10-12",131.2,"Food","Trump Hotel D.C.","MEETING EXPENSE - MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"691",691,"FEC","Duffy for Wisconsin","2017-10-16",290.3,"Food","Trump Hotel D.C.","FOOD/BEVERAGE","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"692",692,"FEC","Republican National Committee","2017-10-17",300,"Travel","Trump Hotel D.C.","TRAVEL EXPENSES","TRUMP INTERNATIONAL HOTEL WDC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"693",693,"FEC","Republican National Committee","2017-10-18",112.6,"Events","BLT Prime D.C","CATERING/FOOD AND BEVERAGES","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"694",694,"FEC","Republican National Committee","2017-10-19",65.71,"Travel","Trump Cafe NY","TRAVEL EXPENSES","THE TRUMP CAFE","New York","NY",2017,NA,NA,"40.762459:-73.973869"
"695",695,"FEC","Handel for Congress, Inc.","2017-10-20",40.8,"Food","Trump Hotel D.C.","Food/Beverage","Trump International Hotel Washington","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"696",696,"FEC","Omar Navarro for Congress","2017-10-23",90.56,"Food","Trump Golf Club L.A.","Meals","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"697",697,"FEC","Omar Navarro for Congress","2017-10-23",9.45,"Other","Trump Golf Club L.A.","Fee","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"698",698,"FEC","Tom Rooney for Congress","2017-10-24",6.69,"Other","Trump Hotel Chicago","MEETING EXPENSE","Trump International Hotel","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"699",699,"FEC","Biggs for Congress","2017-10-25",267.7,"Food","Trump Hotel D.C.","MEALS/MEETINGS","TRUMP HOTEL","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"700",700,"FEC","Collins for Congress","2017-10-25",393.9,"Food","Trump Hotel D.C.","Fundraising dinner - data entry error","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"701",701,"FEC","America First Action, Inc.","2017-10-26",73.8,"Food","Benjamin Bar & Lounge D.C","AHEARN REIMBURSEMENT [SB21B.4641]: TRAVEL: FOOD","BENJAMIN BAR AND LOUNGE","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"702",702,"FEC","America First Action, Inc.","2017-10-26",1238.35,"Lodging","Trump Hotel D.C.","1ST BANKCARD PMT [SB21B.4627]: TRAVEL: LODGING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"703",703,"FEC","Claudia Tenney for Congress","2017-10-26",789.82,"Events","Trump Hotel D.C.","Event Catering","Trump Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"704",704,"FEC","Stewart for Senate Inc","2017-10-30",309.6,"Food","Trump Hotel D.C.","MEETING EXPENSE - MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"705",705,"FEC","John James for Senate Inc","2017-10-31",478.12,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING [SB17.10757]","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"706",706,"FEC","Omar Navarro for Congress","2017-11-02",33.38,"Events","Trump Golf Club L.A.","Campaign Event","Trump National Golf Course","Rancho Palos Verdes","CA",2017,NA,NA,"33.731861:-118.347252"
"707",707,"FEC","Reinventing a New Direction Political Action Committee","2017-11-02",441,"Food","BLT Prime D.C","FOOD/BEVERAGE","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"708",708,"FEC","Reinventing a New Direction Political Action Committee","2017-11-02",109.1,"Food","Trump Golf Club D.C.","FOOD/BEVERAGE","TRUMP NATIONAL","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"709",709,"FEC","Stewart for Senate Inc","2017-11-02",354.8,"Food","Trump Hotel D.C.","MEETING EXPENSE-MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"710",710,"FEC","Family-Pac Federal","2017-11-03",650,"Lodging","Trump Hotel Chicago","Lodging for Meeting","Trump Hotel Chicago","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"711",711,"FEC","Kenny Marchant for Congress","2017-11-07",144,"Food","BLT Prime D.C","Meal Expense","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"712",712,"FEC","Republican National Committee","2017-11-08",42,"Events","BLT Prime D.C","CATERING/FOOD AND BEVERAGES","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"713",713,"FEC","Stewart for Senate Inc","2017-11-09",223,"Food","Trump Hotel D.C.","MEETING EXPENSE - MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"714",714,"FEC","Stewart for Senate Inc","2017-11-09",75.7,"Food","Trump Hotel D.C.","MEETING EXPENSE - MEALS","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"715",715,"FEC","Committee To Re-Elect Trent Franks To Congress","2017-11-14",2153.64,"Food","BLT Prime D.C","Food & Beverage","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"716",716,"FEC","America First Action, Inc.","2017-11-17",3750,"Events","Trump Hotel D.C.","EVENT EXPENSE: FACILITY RENTAL AND CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"717",717,"FEC","America First Action, Inc.","2017-11-17",3750,"Events","Trump Hotel D.C.","EVENT EXPENSE: FACILITY RENTAL AND CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"718",718,"FEC","America First Action, Inc.","2017-11-17",3750,"Events","Trump Hotel D.C.","EVENT EXPENSE: FACILITY RENTAL AND CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"719",719,"FEC","America First Action, Inc.","2017-11-17",19000,"Events","Trump Hotel D.C.","EVENT EXPENSE: FACILITY RENTAL AND CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"720",720,"FEC","America First Action, Inc.","2017-11-17",94.2,"Food","BLT Prime D.C","WALSH REIMBURSEMENT [SB21B.4658]: MEETING EXPENSE: MEALS","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"721",721,"FEC","Alex Mooney for Congress","2017-11-20",103.6,"Food","BLT Prime D.C","FOOD/BEVERAGE","TRUMP HOTEL BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"722",722,"FEC","America First Action, Inc.","2017-11-22",1130.36,"Lodging","Trump Hotel D.C.","1ST BANKCARD PMT [SB21B.4629]: TRAVEL: LODGING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"723",723,"FEC","Greg Pence for Congress","2017-11-27",1525.46,"Lodging","Trump Hotel D.C.","Lodging Expense - Pd by G. Pence","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"724",724,"FEC","Palazzo for Congress","2017-11-27",394.2,"Travel","BLT Prime D.C","Staff Travel","BLT Prime Trump","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"725",725,"FEC","Bill Shuster for Congress","2017-11-30",19571.91,"Events","Trump Hotel D.C.","EVENT FACILITY RENTAL/CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"726",726,"FEC","Family-Pac Federal","2017-12-04",2079.06,"Food","Trump Hotel Chicago","Food and Beverages-Luncheon","Trump Hotel Chicago","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"727",727,"FEC","John James for Senate Inc","2017-12-04",418.62,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING [SB17.11407]","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"728",728,"FEC","John James for Senate Inc","2017-12-05",426.3,"Lodging","Trump Hotel D.C.","TRAVEL: LODGING [SB17.11407]","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"729",729,"FEC","NRCC","2017-12-05",906.92,"Travel","Trump Hotel D.C.","TRAVEL","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"730",730,"FEC","Republican National Committee","2017-12-06",173.2,"Events","Trump Hotel D.C.","CATERING/FOOD AND BEVERAGES","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"731",731,"FEC","Republican National Committee","2017-12-06",13750,"Events","Trump Hotel D.C.","VENUE RENTAL AND CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"732",732,"FEC","Duncan D. Hunter for Congress","2017-12-07",56.3,"Food","Trump Hotel D.C.","FOOD/BEVERAGES","TRUMP INTERNATIONAL HOTEL RESTAURANT","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"733",733,"FEC","Meadows for Congress","2017-12-07",688.6,"Lodging","Trump Hotel D.C.","Lodging","Trump International Hotel - Washington DC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"734",734,"FEC","Reinventing a New Direction Political Action Committee","2017-12-08",170.73,"Food","Trump Golf Club D.C.","FOOD/BEVERAGE","TRUMP NATIONAL","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"735",735,"FEC","Reinventing a New Direction Political Action Committee","2017-12-08",43.4,"Food","Trump Golf Club D.C.","FOOD/BEVERAGE","TRUMP NATIONAL","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"736",736,"FEC","America First Action, Inc.","2017-12-09",639.5,"Food","BLT Prime D.C","WALSH REIMBURSEMENT [SB21B.15515]: FUNDRAISING EXPENSE","BLT PRIME BY DAVID BURKE","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"737",737,"FEC","Family-Pac Federal","2017-12-11",454.13,"Lodging","Trump Hotel Chicago","Lodging for PAC Meeting","Trump Hotel Chicago","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"738",738,"FEC","Gregg Harper for Congress","2017-12-11",1696.68,"Lodging","Trump Hotel D.C.","Travel - Hotel","Trump International","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"739",739,"FEC","America First Action, Inc.","2017-12-12",116.9,"Food","BLT Prime D.C","AHEARN REIMBURSEMENT [SB21B.4643]: MEETING EXPENSE: MEALS","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"740",740,"FEC","America First Action, Inc.","2017-12-12",324,"Food","BLT Prime D.C","MASON REIMBURSEMENT [SB21B.15517]: FUNDRAISING EXPENSE","BLT PRIME BY DAVID BURKE","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"741",741,"FEC","Mckinley for Congress","2017-12-12",846.01,"Events","Trump Golf Club D.C.","EVENT CATERING","TRUMP NATIONAL GOLF CLUB","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"742",742,"FEC","Meadows for Congress","2017-12-12",468.8,"Food","BLT Prime D.C","Food/Beverage","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"743",743,"FEC","Republican National Committee","2017-12-12",3000,"Events","Trump Golf Club Miami","VENUE RENTAL AND CATERING","TRUMP NATIONAL DORAL MIAMI","Miami","FL",2017,NA,NA,"25.818840:-80.343826"
"744",744,"FEC","America First Action, Inc.","2017-12-13",181.8,"Food","BLT Prime D.C","AHEARN REIMBURSEMENT [SB21B.4643]: MEETING EXPENSE: MEALS","BLT PRIME","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"745",745,"FEC","America First Action, Inc.","2017-12-13",70,"Other","Trump Hotel D.C.","MONTGOMERY REIMBURSEMENT [SB21B.4650]: EVENT EXPENSE: PARKING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"746",746,"FEC","Republican Party of Virginia Inc","2017-12-13",1976.52,"Events","Trump Golf Club D.C.","Catering for Event","Trump National Golf Club DC","Potomac Falls","VA",2017,NA,NA,"39.052459:-77.347594"
"747",747,"FEC","Citizens for Turner","2017-12-18",63.2,"Food","Trump Hotel D.C.","Meeting Food and Beverage","Trump International Hotel DC","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"748",748,"FEC","Republican National Committee","2017-12-18",98.9,"Events","Trump Hotel D.C.","CATERING/FOOD AND BEVERAGES","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"749",749,"FEC","Republican National Committee","2017-12-18",27500,"Events","Trump Hotel D.C.","VENUE RENTAL AND CATERING","Trump International Hotel","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"750",750,"FEC","Robert Aderholt for Congress","2017-12-18",1790.59,"Events","BLT Prime D.C","event food and beverage","BLT Prime","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"751",751,"FEC","Duncan D. Hunter for Congress","2017-12-26",327.6,"Food","Trump Hotel D.C.","FOOD/BEVERAGES","TRUMP INTERNATIONAL HOTEL RESTAURANT","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"752",752,"FEC","Randy Hultgren for Congress","2017-12-27",290.97,"Lodging","Trump Hotel Chicago","LODGING","TRUMP INTERNATIONAL HOTEL & TOWER","Chicago","IL",2017,NA,NA,"41.889019:-87.626549"
"753",753,"FEC","Republican National Committee","2018-01-02",13750,"Events","Trump Hotel D.C.","VENUE RENTAL AND CATERING","Trump International Hotel","Washington","DC",2018,NA,NA,"38.894508:-77.027603"
"754",754,"FEC","NRCC","2018-01-08",112,"Food","Trump Hotel D.C.","FOOD/BEVERAGE","Trump International Hotel","Washington","DC",2018,NA,NA,"38.894508:-77.027603"
"755",755,"FEC","The Peter Norbeck Leadership PAC","2018-01-08",3422.94,"Food","BLT Prime D.C","PAC Fundraising Food and Beverage","BLT Prime","Washington","DC",2018,NA,NA,"38.894508:-77.027603"
"756",756,"FEC","America First Action, Inc.","2018-01-10",398.66,"Food","BLT Prime D.C","AHEARN REIMBURSEMENT [SB21B.15935]: FUNDRAISING EXPENSE","BLT PRIME BY DAVID BURKE","Washington","DC",2018,NA,NA,"38.894508:-77.027603"
"757",757,"FEC","America First Action, Inc.","2018-01-10",19.6,"Food","Benjamin Bar & Lounge D.C","AHEARN REIMBURSEMENT [SB21B.15935]: FUNDRAISING EXPENSE","BENJAMIN BAR AND LOUNGE","Washington","DC",2018,NA,NA,"38.894508:-77.027603"
"758",758,"FEC","Freedom Fund","2018-01-11",239.1,"Food","BLT Prime D.C","PAC Food & Beverage","BLT Prime","Washington","DC",2018,NA,NA,"38.894508:-77.027603"
"759",759,"FEC","One Georgia PAC","2018-01-11",360.47,"Lodging","Trump Golf Club Miami","REIMBURSEMENT [SB21B.5587]: TRAVEL: LODGING","TRUMP NATIONAL DORAL","Miami","FL",2018,NA,NA,"25.818840:-80.343826"
